#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP,SwH,SwP,WWH,WWP,SwD,WWD
2025,12,2,23,26,1.4,8,5.5,152,15.3,0.1,10.5,1.4,7.7,SSE,SSE
2025,12,2,22,56,1.6,8,5.8,155,15.3,0.2,10.5,1.5,8.3,SSE,SSE
2025,12,2,22,26,1.4,8,5.4,152,15.3,0.1,10.5,1.4,8.3,SE,SSE
2025,12,2,21,56,1.8,8,5.8,145,15.3,0.1,10.5,1.8,8.3,SE,SE
2025,12,2,21,26,1.5,7,5.4,149,15.3,0.1,10.5,1.5,7.1,SE,SSE
2025,12,2,20,56,1.6,8,5.7,148,15.3,0.1,10.5,1.6,7.7,ESE,SSE
2025,12,2,20,26,1.6,8,5.4,149,15.3,0.1,10.5,1.6,7.7,SE,SSE
2025,12,2,19,56,1.8,7,5.5,146,15.3,0.1,10.5,1.8,7.1,SE,SE
2025,12,2,19,26,1.8,7,5.4,140,15.3,0.1,10.5,1.8,7.1,SE,SE
2025,12,2,18,56,1.9,8,5.7,132,15.3,0.1,10.5,1.9,7.7,SE,SE
2025,12,2,18,26,1.8,8,5.7,129,15.3,0.1,10.5,1.8,7.7,ESE,SE
2025,12,2,17,56,1.8,8,5.8,129,15.3,0.1,10.5,1.8,7.7,SE,SE
2025,12,2,17,26,1.9,7,6.2,129,15.2,0.1,10.5,1.9,7.1,ESE,SE
2025,12,2,16,56,1.8,7,6.1,132,15.2,0.1,10.5,1.8,7.1,SE,SE
2025,12,2,16,26,1.6,8,5.9,125,15.2,0.1,10.5,1.6,7.7,SSE,SE
2025,12,2,15,56,1.8,7,5.9,128,15.2,0.1,10.5,1.8,7.1,ESE,SE
2025,12,2,15,26,1.8,7,5.9,129,15.2,0.1,10.5,1.8,7.1,ESE,SE
2025,12,2,14,56,1.8,7,5.9,124,15.2,0.1,10.5,1.8,7.1,ESE,SE
2025,12,2,14,26,1.9,7,6,131,15.3,0.1,10.5,1.9,7.1,ESE,SE
2025,12,2,13,56,1.9,7,5.9,129,15.3,0.1,10.5,1.9,7.1,ESE,SE
2025,12,2,13,26,1.9,8,6,126,15.3,0.1,10.5,1.9,7.7,ESE,SE
2025,12,2,12,56,1.7,7,5.6,121,15.3,0.1,10.5,1.7,6.7,SE,ESE
2025,12,2,12,26,1.8,7,5.7,115,15.3,0.1,10.5,1.8,6.7,ESE,ESE
