#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 12 02 23 26  1.4  0.1 10.5  1.4  7.7 SSE SSE    AVERAGE  5.5 152
2025 12 02 22 56  1.6  0.2 10.5  1.5  8.3 SSE SSE    AVERAGE  5.8 155
2025 12 02 22 26  1.4  0.1 10.5  1.4  8.3  SE SSE    AVERAGE  5.4 152
2025 12 02 21 56  1.8  0.1 10.5  1.8  8.3  SE  SE    AVERAGE  5.8 145
2025 12 02 21 26  1.5  0.1 10.5  1.5  7.1  SE SSE      STEEP  5.4 149
2025 12 02 20 56  1.6  0.1 10.5  1.6  7.7 ESE SSE    AVERAGE  5.7 148
2025 12 02 20 26  1.6  0.1 10.5  1.6  7.7  SE SSE    AVERAGE  5.4 149
2025 12 02 19 56  1.8  0.1 10.5  1.8  7.1  SE  SE      STEEP  5.5 146
2025 12 02 19 26  1.8  0.1 10.5  1.8  7.1  SE  SE      STEEP  5.4 140
2025 12 02 18 56  1.9  0.1 10.5  1.9  7.7  SE  SE      STEEP  5.7 132
2025 12 02 18 26  1.8  0.1 10.5  1.8  7.7 ESE  SE      STEEP  5.7 129
2025 12 02 17 56  1.8  0.1 10.5  1.8  7.7  SE  SE      STEEP  5.8 129
2025 12 02 17 26  1.9  0.1 10.5  1.9  7.1 ESE  SE      STEEP  6.2 129
2025 12 02 16 56  1.8  0.1 10.5  1.8  7.1  SE  SE      STEEP  6.1 132
2025 12 02 16 26  1.6  0.1 10.5  1.6  7.7 SSE  SE    AVERAGE  5.9 125
2025 12 02 15 56  1.8  0.1 10.5  1.8  7.1 ESE  SE      STEEP  5.9 128
2025 12 02 15 26  1.8  0.1 10.5  1.8  7.1 ESE  SE      STEEP  5.9 129
2025 12 02 14 56  1.8  0.1 10.5  1.8  7.1 ESE  SE      STEEP  5.9 124
