WVHT,DPD,APD,MWD,WTMP,time_sin
1.4,9,7.1,83,29.5,-0.608761429
1.5,13,7.7,320,29.4,-0.707106781
1.5,14,8.1,325,29.3,-0.79335334
1.5,14,7.9,323,29.3,-0.866025404
1.5,8,7.8,68,29.3,-0.923879533
1.4,14,8.1,322,29.3,-0.965925826
1.6,14,8.4,325,29.2,-0.991444861
1.5,14,8.2,329,29.2,-1
1.5,14,8.1,323,29.3,-0.991444861
1.6,14,8.2,321,29.3,-0.965925826
1.6,14,8.4,329,29.3,-0.923879533
1.5,11,8.1,9,29.3,-0.866025404
1.5,11,8.2,357,29.3,-0.79335334
1.5,14,8.2,326,29.3,-0.707106781
1.5,8,8,66,29.3,-0.608761429
1.5,14,8.4,327,29.3,-0.5
1.5,8,8.2,55,29.3,-0.382683432
1.5,14,8.6,328,29.3,-0.258819045
1.5,14,8.1,329,29.3,-0.130526192
1.5,13,8.1,351,29.4,1.22E-16
1.7,14,8.4,333,29.4,0.130526192
1.5,9,8,48,29.4,0.258819045
1.6,14,8.4,332,29.4,0.382683432
1.5,11,8,348,29.4,0.5
1.6,15,8.2,327,29.4,0.608761429
1.7,13,8.3,339,29.4,0.707106781
1.5,13,7.9,343,29.3,0.79335334
1.6,13,7.9,353,29.4,0.866025404
1.5,12,7.7,333,29.4,0.923879533
1.7,8,8.1,50,29.4,0.965925826
1.6,8,7.3,51,29.4,0.991444861
1.6,8,7.3,53,29.4,1
1.8,12,7.5,325,29.4,0.991444861
1.7,8,7.4,55,29.4,0.965925826
1.7,8,7,67,29.4,0.923879533
1.6,9,7.1,38,29.4,0.866025404
1.6,13,7.2,338,29.4,0.79335334
1.8,13,7.5,331,29.4,0.707106781
1.7,13,7.3,337,29.4,0.608761429
1.8,12,7.1,344,29.4,0.5
1.7,9,7.1,53,29.5,0.382683432
1.7,13,6.8,354,29.4,0.258819045
1.8,13,7.5,331,29.4,0.130526192
1.7,9,7,41,29.4,0
1.8,13,7.2,344,29.4,-0.130526192
1.8,10,7.2,34,29.4,-0.258819045
1.9,13,7.3,339,29.4,-0.382683432
1.8,9,7.2,72,29.3,-0.5
2,13,7.7,359,29.3,-0.608761429
1.8,8,7.5,56,29.3,-0.707106781
1.8,9,7.8,59,29.3,-0.79335334
1.8,8,7.7,61,29.2,-0.866025404
1.9,13,8.4,355,29.2,-0.923879533
1.9,13,8,330,29.2,-0.965925826
1.8,8,8.2,69,29.2,-0.991444861
1.8,13,8.2,344,29.2,-1
1.8,13,8.1,339,29.2,-0.991444861
1.8,13,7.9,333,29.2,-0.965925826
1.9,9,7.9,58,29.2,-0.923879533
1.9,8,8.1,45,29.2,-0.866025404
2,13,8.5,328,29.2,-0.79335334
1.9,13,8.3,331,29.2,-0.707106781
1.9,13,8,344,29.3,-0.608761429
1.9,13,8,355,29.2,-0.5
1.8,13,8.3,329,29.3,-0.382683432
1.9,13,8,327,29.3,-0.258819045
1.9,8,8,59,29.3,-0.130526192
2,14,8.8,351,29.3,1.22E-16
1.9,13,8.5,311,29.3,0.130526192
1.8,14,7.9,349,29.3,0.258819045
2,14,8.4,330,29.3,0.382683432
