datetime,time_sin,WVHT,DPD,APD,MWD,WTMP,SwH,SwP,WWH,WWP,SwD_sin,SwD_cos,WWD_sin,WWD_cos
2025-12-02 23:26:00,0.9890158633619167,1.4,8.0,5.5,152.0,15.3,0.1,10.5,1.4,7.7,0.3826834323650899,-0.9238795325112867,0.3826834323650899,-0.9238795325112867
2025-12-02 22:56:00,0.9612616959383189,1.6,8.0,5.8,155.0,15.3,0.2,10.5,1.5,8.3,0.3826834323650899,-0.9238795325112867,0.3826834323650899,-0.9238795325112867
2025-12-02 22:26:00,0.9170600743851238,1.4,8.0,5.4,152.0,15.3,0.1,10.5,1.4,8.3,0.7071067811865476,-0.7071067811865475,0.3826834323650899,-0.9238795325112867
2025-12-02 21:56:00,0.8571673007021121,1.8,8.0,5.8,145.0,15.3,0.1,10.5,1.8,8.3,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
2025-12-02 21:26:00,0.7826081568524138,1.5,7.0,5.4,149.0,15.3,0.1,10.5,1.5,7.1,0.7071067811865476,-0.7071067811865475,0.3826834323650899,-0.9238795325112867
2025-12-02 20:56:00,0.6946583704589973,1.6,8.0,5.7,148.0,15.3,0.1,10.5,1.6,7.7,0.9238795325112867,-0.3826834323650897,0.3826834323650899,-0.9238795325112867
2025-12-02 20:26:00,0.5948227867513406,1.6,8.0,5.4,149.0,15.3,0.1,10.5,1.6,7.7,0.7071067811865476,-0.7071067811865475,0.3826834323650899,-0.9238795325112867
2025-12-02 19:56:00,0.4848096202463372,1.8,7.0,5.5,146.0,15.3,0.1,10.5,1.8,7.1,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
2025-12-02 19:26:00,0.3665012267242968,1.8,7.0,5.4,140.0,15.3,0.1,10.5,1.8,7.1,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
2025-12-02 18:56:00,0.24192189559966737,1.9,8.0,5.7,132.0,15.3,0.1,10.5,1.9,7.7,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
2025-12-02 18:26:00,0.11320321376790653,1.8,8.0,5.7,129.0,15.3,0.1,10.5,1.8,7.7,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 17:56:00,-0.01745240643728356,1.8,8.0,5.8,129.0,15.3,0.1,10.5,1.8,7.7,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
2025-12-02 17:26:00,-0.14780941112961138,1.9,7.0,6.2,129.0,15.2,0.1,10.5,1.9,7.1,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 16:56:00,-0.27563735581699894,1.8,7.0,6.1,132.0,15.2,0.1,10.5,1.8,7.1,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475
2025-12-02 16:26:00,-0.39874906892524664,1.6,8.0,5.9,125.0,15.2,0.1,10.5,1.6,7.7,0.3826834323650899,-0.9238795325112867,0.7071067811865476,-0.7071067811865475
2025-12-02 15:56:00,-0.5150380749100545,1.8,7.0,5.9,128.0,15.2,0.1,10.5,1.8,7.1,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 15:26:00,-0.6225146366376196,1.8,7.0,5.9,129.0,15.2,0.1,10.5,1.8,7.1,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 14:56:00,-0.7193398003386512,1.8,7.0,5.9,124.0,15.2,0.1,10.5,1.8,7.1,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 14:26:00,-0.8038568606172177,1.9,7.0,6.0,131.0,15.3,0.1,10.5,1.9,7.1,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 13:56:00,-0.8746197071393956,1.9,7.0,5.9,129.0,15.3,0.1,10.5,1.9,7.1,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 13:26:00,-0.9304175679820247,1.9,8.0,6.0,126.0,15.3,0.1,10.5,1.9,7.7,0.9238795325112867,-0.3826834323650897,0.7071067811865476,-0.7071067811865475
2025-12-02 12:56:00,-0.9702957262759966,1.7,7.0,5.6,121.0,15.3,0.1,10.5,1.7,6.7,0.7071067811865476,-0.7071067811865475,0.9238795325112867,-0.3826834323650897
2025-12-02 12:26:00,-0.9935718556765876,1.8,7.0,5.7,115.0,15.3,0.1,10.5,1.8,6.7,0.9238795325112867,-0.3826834323650897,0.9238795325112867,-0.3826834323650897
2025-12-02 11:56:00,-0.9998476951563913,1.8,6.0,5.4,115.0,15.4,0.1,10.5,1.8,6.2,1.0,6.123233995736766e-17,0.9238795325112867,-0.3826834323650897
2025-12-02 11:26:00,-0.9890158633619168,1.7,6.0,5.3,118.0,15.5,0.1,10.5,1.7,6.2,0.9238795325112867,-0.3826834323650897,0.9238795325112867,-0.3826834323650897
2025-12-02 10:56:00,-0.9612616959383187,1.5,6.0,5.0,104.0,15.6,0.1,10.5,1.5,5.6,0.9238795325112867,-0.3826834323650897,0.9238795325112867,-0.3826834323650897
2025-12-02 10:26:00,-0.9170600743851243,1.3,6.0,4.6,95.0,15.6,0.1,11.1,1.3,5.9,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2025-12-02 09:56:00,-0.8571673007021121,1.5,6.0,4.6,81.0,15.6,0.1,10.5,1.4,5.6,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 09:26:00,-0.7826081568524138,1.5,5.0,4.6,76.0,15.6,0.1,10.5,1.5,5.3,0.9238795325112867,-0.3826834323650897,0.9238795325112867,0.38268343236508984
2025-12-02 08:56:00,-0.6946583704589974,1.5,6.0,4.5,88.0,15.6,0.1,10.5,1.4,5.9,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2025-12-02 08:26:00,-0.5948227867513411,1.5,6.0,4.5,79.0,15.6,0.1,10.5,1.5,5.6,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 07:56:00,-0.48480962024633695,1.4,5.0,4.5,84.0,15.6,0.1,10.5,1.4,5.3,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2025-12-02 07:26:00,-0.3665012267242969,1.4,6.0,4.6,79.0,15.6,0.1,10.5,1.4,5.6,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 06:56:00,-0.2419218955996675,1.4,5.0,4.5,81.0,15.6,0.1,10.5,1.3,5.0,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 06:26:00,-0.11320321376790664,1.4,5.0,4.5,73.0,15.7,0.1,10.5,1.4,4.5,0.9238795325112867,-0.3826834323650897,0.9238795325112867,0.38268343236508984
2025-12-02 05:56:00,0.01745240643728344,1.3,6.0,4.3,86.0,15.7,0.1,10.5,1.3,5.6,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17
2025-12-02 05:26:00,0.14780941112961082,1.4,6.0,4.5,83.0,15.7,0.1,10.5,1.4,5.9,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 04:56:00,0.2756373558169992,1.4,5.0,4.4,81.0,15.7,0.1,11.1,1.4,5.3,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 04:26:00,0.39874906892524653,1.3,6.0,4.4,77.0,15.7,0.1,10.5,1.3,5.6,0.9238795325112867,-0.3826834323650897,0.9238795325112867,0.38268343236508984
2025-12-02 03:56:00,0.5150380749100544,1.4,6.0,4.5,83.0,15.7,0.1,10.5,1.4,5.6,0.9238795325112867,-0.3826834323650897,1.0,6.123233995736766e-17
2025-12-02 03:26:00,0.6225146366376196,1.4,6.0,4.4,74.0,15.8,0.1,11.1,1.4,5.6,1.0,6.123233995736766e-17,0.9238795325112867,0.38268343236508984
2025-12-02 02:56:00,0.7193398003386511,1.4,5.0,4.5,76.0,15.8,0.1,10.5,1.4,4.8,0.9238795325112867,-0.3826834323650897,0.9238795325112867,0.38268343236508984
2025-12-02 02:26:00,0.8038568606172174,1.4,5.0,4.4,74.0,15.8,0.1,10.5,1.4,4.8,1.0,6.123233995736766e-17,0.9238795325112867,0.38268343236508984
2025-12-02 01:56:00,0.8746197071393959,1.4,6.0,4.4,81.0,15.8,0.1,10.5,1.4,5.6,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17
2025-12-02 01:26:00,0.9304175679820246,1.3,5.0,4.4,76.0,15.8,0.1,10.5,1.3,4.5,0.9238795325112867,-0.3826834323650897,0.9238795325112867,0.38268343236508984
