#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 27 999 99.0 99.0  1.19  8.33  5.80 120 9999.0 999.0  11.8 999.0 99.0 99.00
2010 01 01 00 57 999 99.0 99.0  1.15  7.69  5.89 132 9999.0 999.0  11.8 999.0 99.0 99.00
2010 01 01 01 27 999 99.0 99.0  1.12  7.14  5.78 147 9999.0 999.0  11.7 999.0 99.0 99.00
2010 01 01 01 57 999 99.0 99.0  1.05  7.14  5.61 143 9999.0 999.0  11.7 999.0 99.0 99.00
2010 01 01 02 27 999 99.0 99.0  0.99  6.67  5.58 151 9999.0 999.0  11.7 999.0 99.0 99.00
2010 01 01 02 57 999 99.0 99.0  1.01  7.14  5.69 158 9999.0 999.0  11.7 999.0 99.0 99.00
2010 01 01 03 27 999 99.0 99.0  1.03  7.14  5.74 151 9999.0 999.0  11.7 999.0 99.0 99.00
2010 01 01 03 57 999 99.0 99.0  0.97  7.69  5.67 136 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 04 27 999 99.0 99.0  0.95  7.69  5.68 132 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 04 57 999 99.0 99.0  0.94  7.69  5.74 132 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 05 27 999 99.0 99.0  0.94  7.69  5.80 129 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 05 57 999 99.0 99.0  0.91  8.33  5.81 123 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 06 27 999 99.0 99.0  0.90  7.14  5.85 133 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 06 57 999 99.0 99.0  0.91  7.14  5.95 130 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 07 27 999 99.0 99.0  0.90  7.14  5.93 129 9999.0 999.0  11.6 999.0 99.0 99.00
2010 01 01 07 57 999 99.0 99.0  0.97  7.14  5.98 129 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 08 27 999 99.0 99.0  0.97  7.14  6.03 129 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 08 57 999 99.0 99.0  0.92  6.67  5.96 140 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 09 27 999 99.0 99.0  0.97  7.14  5.88 129 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 09 57 999 99.0 99.0  0.92  7.69  5.87 129 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 10 27 999 99.0 99.0  1.00  7.69  6.02 130 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 10 57 999 99.0 99.0  0.91  7.14  5.34 130 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 11 27 999 99.0 99.0  0.92  7.14  5.28 137 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 11 57 999 99.0 99.0  1.05  6.67  5.28 147 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 12 27 999 99.0 99.0  0.99  7.69  4.92 123 9999.0 999.0  11.5 999.0 99.0 99.00
2010 01 01 12 57 999 99.0 99.0  0.94  7.14  4.85 141 9999.0 999.0  11.5 999.0 99.0 99.00
