#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 06 999 99.0 99.0  0.85  7.69  5.49 132 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 00 36 999 99.0 99.0  0.81  5.56  5.53 163 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 01 06 999 99.0 99.0  0.84  5.88  5.42 150 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 01 36 999 99.0 99.0  0.85  7.14  5.59 134 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 02 06 999 99.0 99.0  0.80  5.56  5.48 157 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 02 36 999 99.0 99.0  0.77  5.00  5.47 161 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 03 06 999 99.0 99.0  0.83  5.88  5.39 163 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 03 36 999 99.0 99.0  0.82  7.14  5.45 137 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 04 06 999 99.0 99.0  0.80  5.88  5.50 156 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 04 36 999 99.0 99.0  0.83  5.88  5.52 160 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 05 06 999 99.0 99.0  0.85  5.88  5.51 157 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 05 36 999 99.0 99.0  0.91  5.56  5.59 160 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 06 06 999 99.0 99.0  0.89  6.25  4.90 147 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 06 36 999 99.0 99.0  0.95  5.56  4.55 168 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 07 06 999 99.0 99.0  0.90  5.88  4.46 168 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 07 36 999 99.0 99.0  0.96  6.25  4.32 171 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 08 06 999 99.0 99.0  0.96  6.25  4.16 164 9999.0 999.0  18.7 999.0 99.0 99.00
2016 01 01 08 36 999 99.0 99.0  0.99  6.67  4.04 154 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 09 06 999 99.0 99.0  1.02  7.14  4.10 147 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 09 36 999 99.0 99.0  0.98  6.25  4.02 154 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 10 06 999 99.0 99.0  1.05  6.25  4.20 160 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 10 36 999 99.0 99.0  1.05  6.67  3.89 153 9999.0 999.0  18.6 999.0 99.0 99.00
2016 01 01 11 06 999 99.0 99.0  1.05  6.67  3.99 144 9999.0 999.0  18.5 999.0 99.0 99.00
