YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2018,1,1,0,29,1.31,5.26,4.52,81,11.4
2018,1,1,0,59,1.25,4.76,4.37,71,11.4
2018,1,1,1,29,1.28,5.88,4.46,82,11.4
2018,1,1,1,59,1.27,5.88,4.42,85,11.4
2018,1,1,2,29,1.26,5.56,4.5,77,11.4
2018,1,1,2,59,1.22,5.88,4.38,80,11.3
2018,1,1,3,29,1.31,5.88,4.57,80,11.3
2018,1,1,3,59,1.29,5.56,4.5,77,11.3
2018,1,1,4,29,1.32,6.25,4.49,84,11.3
2018,1,1,4,59,1.3,6.25,4.49,82,11.3
2018,1,1,5,29,1.35,6.25,4.56,84,11.3
2018,1,1,5,59,1.34,9.88,4.57,111,11.3
2018,1,1,6,29,1.4,9.09,4.54,105,11.2
2018,1,1,6,59,1.39,4.76,4.41,75,11.3
2018,1,1,7,29,1.44,5.56,4.52,81,11.3
2018,1,1,7,59,1.49,5.26,4.45,73,11.3
2018,1,1,8,29,1.58,5,4.54,71,11.3
2018,1,1,8,59,1.53,5.56,4.59,73,11.3
2018,1,1,9,29,1.54,5.26,4.67,73,11.3
2018,1,1,9,59,1.54,5.26,4.67,75,11.3
2018,1,1,10,29,1.53,5.88,4.53,78,11.3
2018,1,1,10,59,1.56,5.56,4.6,77,11.3
2018,1,1,11,29,1.54,6.25,4.61,77,11.3
2018,1,1,11,59,1.57,5.56,4.67,70,11.3
2018,1,1,12,29,1.55,5,4.63,61,11.2
2018,1,1,12,59,1.6,5.26,4.42,67,11.2
2018,1,1,13,29,1.53,6.67,4.41,80,11.1
2018,1,1,13,59,1.58,4.76,4.47,59,11.1
2018,1,1,14,29,1.63,6.25,4.58,81,11.1
2018,1,1,14,59,1.63,5.56,4.55,68,11
2018,1,1,15,29,1.64,5.26,4.65,70,11
2018,1,1,15,59,1.55,5,4.58,63,10.9
2018,1,1,16,29,1.61,5.88,4.58,78,10.9
2018,1,1,16,59,1.5,5.88,4.46,78,10.9
2018,1,1,17,29,1.54,5.88,4.47,74,10.8
2018,1,1,17,59,1.41,5,4.4,68,10.8
2018,1,1,18,29,1.51,5.88,4.53,80,10.8
2018,1,1,18,59,1.41,6.25,4.61,81,10.8
2018,1,1,19,29,1.45,5,4.55,67,10.7
2018,1,1,19,59,1.38,5.88,4.49,77,10.7
2018,1,1,20,29,1.28,6.25,4.32,82,10.7
2018,1,1,20,59,1.3,5.26,4.44,74,10.7
2018,1,1,21,29,1.37,6.25,4.59,84,10.7
2018,1,1,21,59,1.35,9.88,4.54,98,10.7
2018,1,1,22,29,1.41,5.26,4.53,73,10.7
2018,1,1,22,59,1.3,5.88,4.36,82,10.6
2018,1,1,23,29,1.22,5.88,4.27,81,10.6
2018,1,1,23,59,1.24,5.26,4.4,73,10.5
2018,1,2,0,29,1.29,5,4.36,70,10.5
2018,1,2,0,59,1.24,5.56,4.35,77,10.5
2018,1,2,1,29,1.26,5.88,4.34,81,10.5
2018,1,2,1,59,1.24,5.26,4.43,78,10.4
2018,1,2,2,29,1.22,6.67,4.5,82,10.3
2018,1,2,2,59,1.19,11.11,4.4,101,10.3
2018,1,2,3,29,1.21,4.76,4.31,71,10.3
2018,1,2,3,59,1.15,5.88,4.18,82,10.3
2018,1,2,4,29,1.11,6.25,4.23,82,10.3
2018,1,2,4,59,1.19,6.25,4.22,84,10.2
2018,1,2,5,29,1.18,5,4.31,77,10.2
2018,1,2,5,59,1.16,10.53,4.22,92,10.2
2018,1,2,6,29,1.14,5.56,4.2,81,10.2
2018,1,2,6,59,1.2,5.26,4.31,80,10.2
2018,1,2,7,29,1.16,5.56,4.28,81,10.2
2018,1,2,7,59,1.16,5.88,4.24,84,10.2
2018,1,2,8,29,1.26,5.26,4.15,81,10.2
2018,1,2,8,59,1.27,11.11,4.23,94,10.2
2018,1,2,9,29,1.31,5.26,4.23,80,10.2
2018,1,2,9,59,1.35,5.56,4.24,81,10.2
2018,1,2,10,29,1.39,5.26,4.29,75,10.2
2018,1,2,10,59,1.33,5.26,4.14,74,10.2
2018,1,2,11,29,1.46,5.56,4.33,77,10.1
