#YY  MM DD hh mm WVHT SwH SwP WWH WWP SwD WWD STEEPNESS APD MWD
2025 12 11 21 30  1.4  0.8 10.5  1.1  8.7   N   E    AVERAGE  7.1  83
2025 12 11 21 00  1.5  0.9 13.3  1.2  9.1  NW  NE    AVERAGE  7.7 320
2025 12 11 20 30  1.5  1.1 14.3  1.1  8.3  NW ENE      SWELL  8.1 325
2025 12 11 20 00  1.5  0.9 14.3  1.1  8.7  NW ENE    AVERAGE  7.9 323
2025 12 11 19 30  1.5  0.9 14.3  1.1  8.3  NW ENE    AVERAGE  7.8  68
2025 12 11 19 00  1.4  1.0 14.3  1.0  8.7  NW ENE      SWELL  8.1 322
2025 12 11 18 30  1.6  1.1 14.3  1.1  8.7  NW  NE      SWELL  8.4 325
2025 12 11 18 00  1.5  1.1 14.3  1.1  7.7 NNW ENE      SWELL  8.2 329
2025 12 11 17 30  1.5  1.0 14.3  1.2  8.3  NW  NE    AVERAGE  8.1 323
2025 12 11 17 00  1.6  1.1 14.3  1.2  8.3  NW  NE    AVERAGE  8.2 321
2025 12 11 16 30  1.6  1.1 14.3  1.2  8.3 NNW  NE    AVERAGE  8.4 329
2025 12 11 16 00  1.5  1.0 10.5  1.1  8.0   N ENE    AVERAGE  8.1   9
2025 12 11 15 30  1.5  1.0 11.1  1.1  8.3   N  NE    AVERAGE  8.2 357
2025 12 11 15 00  1.5  1.0 14.3  1.1  9.5  NW NNE    AVERAGE  8.2 326
2025 12 11 14 30  1.5  0.9 13.3  1.2  8.3   N ENE    AVERAGE  8.0  66
2025 12 11 14 00  1.5  1.1 14.3  1.1  8.3 NNW  NE      SWELL  8.4 327
2025 12 11 13 30  1.5  1.0 14.3  1.1  8.3 NNW  NE    AVERAGE  8.2  55
2025 12 11 13 00  1.5  1.1 14.3  1.0  8.3 NNW  NE      SWELL  8.6 328
2025 12 11 12 30  1.5  1.0 14.3  1.1  8.7 NNW  NE    AVERAGE  8.1 329
2025 12 11 12 00  1.5  1.0 13.3  1.1  9.1   N  NE    AVERAGE  8.1 351
